label,condition,replicate
DW21_1,DW21,1
DW21_2,DW21,2
DW21_3,DW21,3
DW4_1,DW4,1
DW4_2,DW4,2
DW4_3,DW4,3
ML21_1,ML21,1
ML21_2,ML21,2
ML21_3,ML21,3
ML4_1,ML4,1
ML4_2,ML4,2
ML4_3,ML4,3
